,start_station_name,value
1587,W 21 St & 6 Ave,128642
1718,West St & Chambers St,122742
495,Broadway & W 58 St,113770
286,6 Ave & W 33 St,105995
8,1 Ave & E 68 St,104555
461,Broadway & E 14 St,98492
485,Broadway & W 25 St,98052
1511,University Pl & E 14 St,96756
463,Broadway & E 21 St,95376
1603,W 31 St & 7 Ave,93854
788,E 33 St & 1 Ave,90741
590,Cleveland Pl & Spring St,90586
29,12 Ave & W 40 St,89977
287,6 Ave & W 34 St,89251
24,11 Ave & W 41 St,87303
1719,West St & Liberty St,87232
1105,Lafayette St & E 8 St,87166
562,Central Park S & 6 Ave,86500
796,E 40 St & Park Ave,85329
328,8 Ave & W 33 St,84686
